New_X,New_Y,New_Z,Original_X,Original_Y,Original_Z
304.800,-126.000,-4290.000,500,-126,-3900
-2304.800,-188.000,-2310.000,-2200,-188,-2100
2589.800,-110.000,-9020.000,3000,-110,-8200
-1504.800,110.000,6710.000,-1810,110,6100
4289.800,225.000,4180.000,4100,225,3800
-1079.800,-243.000,-6160.000,-800,-243,-5600
5824.800,80.000,7150.000,5500,80,6500
5216.200,-200.000,8492.000,4830,-200,7720
2519.800,11.000,2640.000,2400,11,2400
3040.200,133.000,7480.000,2700,133,6800
869.800,-179.000,1540.000,800,-179,1400
1543.700,20.000,6897.000,1230,20,6270
154.800,230.000,7810.000,-200,230,7100
-3564.800,250.000,-7370.000,-3230,250,-6700
-875.200,-24.000,-8250.000,-500,-24,-7500
-539.800,-124.000,-3080.000,-400,-124,-2800
-4670.200,76.000,7260.000,-5000,76,6600
-409.800,-94.000,1980.000,-500,-94,1800
-4325.200,90.000,8250.000,-4700,90,7500
5415.200,-93.000,6930.000,5100,-93,6300
-160.200,260.000,-8360.000,220,260,-7600
-4799.800,260.000,-6600.000,-4500,260,-6000
-1905.200,-15.000,-6710.000,-1600,-15,-6100
-2577.300,110.000,-5005.000,-2350,110,-4550
-2325.200,-243.000,-9350.000,-1900,-243,-8500
1070.200,109.000,-9460.000,1500,109,-8600
4354.800,-24.000,7810.000,4000,-24,7100
-2899.800,-24.000,2200.000,-3000,-24,2000
249.800,-230.000,9240.000,-170,-230,8400
0.200,286.000,-8800.000,400,286,-8000
-5635.200,10.000,-2970.000,-5500,10,-2700
6055.200,218.000,7810.000,5700,218,7100
3442.800,-280.000,2046.000,3350,-280,1860
-3299.800,-153.000,-8800.000,-2900,-153,-8000
314.800,290.000,7150.000,-10,290,6500
-4024.800,55.000,-550.000,-4000,55,-500
-4150.200,-245.000,-7700.000,-3800,-245,-7000
-1809.800,-222.000,-9020.000,-1400,-222,-8200
-2020.200,-233.000,-4840.000,-1800,-233,-4400
-5524.800,58.000,6050.000,-5800,58,5500
3453.950,-98.000,-5782.700,3717,-98,-5257
680.200,-231.000,-9240.000,1100,-231,-8400
-5150.200,-280.000,-5500.000,-4900,-280,-5000
3763.700,-170.000,9097.000,3350,-170,8270
-2920.200,250.000,-7040.000,-2600,250,-6400
-5759.800,258.000,5280.000,-6000,258,4800
4274.800,30.000,-2750.000,4400,30,-2500
-3674.800,-260.000,-1650.000,-3600,-260,-1500
3539.800,-264.000,3080.000,3400,-264,2800
-6064.800,-44.000,-1430.000,-6000,-44,-1300
3834.800,245.000,7370.000,3500,245,6700
5887.700,10.000,4565.000,5680,10,4150
1219.800,-138.000,-1760.000,1300,-138,-1600
4135.200,252.000,-5830.000,4400,252,-5300
5889.800,234.000,6380.000,5600,234,5800
-724.800,100.000,-4950.000,-500,100,-4500
-1888.200,-140.000,4664.000,-2100,-140,4240
2085.200,-200.000,-8030.000,2450,-200,-7300
-5012.700,-226.000,-275.000,-5000,-226,-250
-1460.950,300.000,-2357.300,-1354,300,-2143
284.800,-188.000,-4730.000,500,-188,-4300
-4899.800,-240.000,2200.000,-5000,-240,2000
-2388.200,20.000,-6336.000,-2100,20,-5760
110.200,-40.000,6160.000,-170,-40,5600
2074.800,-300.000,-2750.000,2200,-300,-2500
4665.200,219.000,-7370.000,5000,219,-6700
3084.800,184.000,-9130.000,3500,184,-8300
170.200,49.000,-2860.000,300,49,-2600
3654.800,224.000,-5390.000,3900,224,-4900
-5089.800,26.000,-1980.000,-5000,26,-1800
-685.200,-89.000,-4070.000,-500,-89,-3700
1030.200,-32.000,-5940.000,1300,-32,-5400
559.800,-72.000,-5280.000,800,-72,-4800
735.200,-99.000,-5830.000,1000,-99,-5300
3449.800,-160.000,1100.000,3400,-160,1000
2560.200,61.000,-5280.000,2800,61,-4800
-1550.200,80.000,1100.000,-1600,80,1000
-3849.800,113.000,3300.000,-4000,113,3000
1314.800,168.000,-4070.000,1500,168,-3700
2805.200,230.000,110.000,2800,230,100
1539.800,-270.000,-5720.000,1800,-270,-5200
4415.200,-110.000,-1870.000,4500,-110,-1700
-5325.200,200.000,-7150.000,-5000,200,-6500
-2849.800,-190.000,1100.000,-2900,-190,1000
5244.800,-200.000,-1210.000,5300,-200,-1100
-4149.800,62.000,1100.000,-4200,62,1000
-3005.200,-200.000,4290.000,-3200,-200,3900
1650.200,100.000,-1100.000,1700,100,-1000
1739.800,-223.000,-3520.000,1900,-223,-3200
-5189.800,248.000,-6380.000,-4900,248,-5800
-3075.200,-290.000,550.000,-3100,-290,500
-6179.800,115.000,-6160.000,-5900,115,-5600
3089.800,90.000,-4620.000,3300,90,-4200
733.200,-20.000,3366.000,580,-20,3060
2069.800,-25.000,-7260.000,2400,-25,-6600
2385.200,90.000,-4730.000,2600,90,-4300
709.800,260.000,-4180.000,900,260,-3800
1235.200,270.000,5170.000,1000,270,4700
-480.200,183.000,4840.000,-700,183,4400
640.200,175.000,5280.000,400,175,4800
1579.800,12.000,-4840.000,1800,12,-4400
1940.200,-52.000,3080.000,1800,-52,2800
1189.800,113.000,-6820.000,1500,113,-6200
965.200,282.000,8030.000,600,282,7300
1609.800,-141.000,-6380.000,1900,-141,-5800
-509.800,258.000,8580.000,-900,258,7800
2724.800,97.000,-3850.000,2900,97,-3500
5500.200,-22.000,0.000,5500,-22,0
2369.800,-25.000,-660.000,2400,-25,-600
870.200,10.000,-2860.000,1000,10,-2600
-1895.200,260.000,2310.000,-2000,260,2100
1035.200,270.000,-1430.000,1100,270,-1300
-492.700,180.000,6105.000,-770,180,5550
-4195.800,170.000,2508.000,-4310,170,2280
-870.200,12.000,2860.000,-1000,12,2600
-2359.800,-52.000,3080.000,-2500,-52,2800
-1577.200,110.000,3586.000,-1740,110,3260
-3236.800,280.000,3586.000,-3400,280,3260
-1296.700,-140.000,5797.000,-1560,-140,5270
-989.800,250.000,7480.000,-1330,250,6800
