Key,Id,English(en),French(fr),German(de),Italian(it),Polish(pl),Portuguese (Brazil)(pt-BR),Spanish(es)
"Advanced",2041072932298753,"Advanced","Avancé","Fortschrittlich","Avanzato","Zaawansowany","Avançado","Avanzado"
"Supreme",2041072932298754,"Supreme","Suprême","Überlegen","Supremo","Najwyższy","Supremo","Supremo"
"Small",2041072932298755,"Small","Petit","Klein","Piccolo","Mały","Pequeno","Pequeño"
"Medium",2041072932298756,"Medium","Moyen","Mittel","Mezzo","Średni","Médio","Medio"
"Large",2041072932298757,"Large","Grand","Groß","Grande","Duży","Grande","Grande"
"Extreme",3466425766256640,"Extreme","Extrême","Sehr groß","Estremo","Skrajny","Extremo","Extremo"
"Canon",2041072932298759,"Canon","Canon","Canon","Canone","Kanon","Cânone","Canon"
"Random",2041072932298760,"Random","Aléatoire","Zufällig","Casuale","Losowy","Aleatório","Aleatorio"
"No Events",3501554970664960,"No Events","Aucun événement","Keine Ereignisse","Nessun evento","Brak wydarzeń","Nenhum evento","No hay eventos"
"Rare Events",3501555020996608,"Rare Events","Événements rares","Seltene Ereignisse","Eventi rari","Rzadkie wydarzenia","Eventos raros","Eventos raros"
"Some Events",3501555020996609,"Some Events","Quelques événements","Einige Ereignisse","Alcuni eventi","Niektóre wydarzenia","Alguns eventos","Algunos eventos"
"Ponderous",2041072932298758,"Ponderous","Lourd","Schwerfällig","Ponderoso","Ciężki","Ponderoso","Pesado"
"YourCiv.LocalPlayer.MainMenu",904229303623680,"You","Toi","Du","Voi","Ty","Você","Tú"
"No Destination",23061993197346816,"No Destination","Aucune destination","Kein Ziel","Nessuna destinazione","Brak celu","Sem destino","Sin destino"
"Stardate",23061993251872768,"Stardate","Date stellaire","Sternzeit","Data di inizio","Data gwiezdna","data estelar","Fecha estelar"
"Report.Combat",23061993251872769,"COMBAT","COMBAT","KAMPF","COMBATTERE","WALKA","COMBATE","COMBATIR"
"Report.Diplomacy",23061993251872770,"DIPL","DIPL","DIPL","DIPL","DIPL","DIPL","DIPL"
"Report.Intel",23061993251872771,"INTEL","INTEL","Intel","INTEL","INTEL","INTEL","INTEL"
"Intel.TechTheft",23061993251872772,"Tech Theft","Vol de matériel informatique","Technikdiebstahl","Furto di tecnologia","Kradzież technologii","Roubo de tecnologia","Robo de tecnología"
"Intel.GatherIntel",23061993251872773,"Gather Intel","Collectez des renseignements","Informationen sammeln","Raccogli informazioni","Zbierz informacje","Reunir informações","Recopilar información"
"Intel.Sabotage",23061993251872774,"Sabotage","Sabotage","Sabotage","Sabotaggio","Sabotaż","Sabotar","Sabotaje"
"Intel.Disinformation",23061993251872775,"Disinformation","Désinformation","Desinformation","Disinformazione","Dezinformacja","Desinformação","Desinformación"
"Dipl.War",23061993251872776,"War declared with {0}","Guerre déclarée avec {0}","Krieg erklärt mit {0}","Guerra dichiarata con {0}","Wojna wypowiedziana {0}","Guerra declarada com {0}","Se declaró la guerra con {0}"
"Dipl.Neutral",23061993251872777,"Relations with {0}: neutral","Relations avec {0} : neutre","Beziehungen zu {0}: neutral","Relazioni con {0}: neutro","Relacje z {0}: neutralne","Relações com {0}: neutro","Relaciones con {0}: neutral"
"Dipl.Peace",23061993251872778,"Peace accord with {0}","accord de paix avec {0}","Friedensabkommen mit {0}","Accordo di pace con {0}","Porozumienie pokojowe z {0}","Acordo de paz com {0}","Acuerdo de paz con {0}"
"Dipl.Allied",23061993251872779,"Alliance forged with {0}","Alliance forgée avec {0}","Bündnis geschmiedet mit {0}","Alleanza forgiata con {0}","Sojusz zawarty z {0}","Aliança forjada com {0}","Alianza forjada con {0}"
"Dipl.Changed",23061993251872780,"Diplomacy changed with {0}","La diplomatie a changé avec {0}","Die Diplomatie änderte sich mit {0}","La diplomazia è cambiata con {0}","Dyplomacja zmieniła się wraz z {0}","Diplomacia alterada com {0}","La diplomacia cambió con {0}"
"Dipl.War.Detail",23061993251872781,"A state of war now exists between {0} and {1}. All peace treaties are void.","Un état de guerre existe désormais entre {0} et {1}. Tous les traités de paix sont nuls.","Zwischen {0} und {1} herrscht nun Kriegszustand. Alle Friedensverträge sind ungültig.","Tra {0} e {1} è in vigore uno stato di guerra. Tutti i trattati di pace sono nulli.","Stan wojny istnieje między {0} a {1}. Wszystkie traktaty pokojowe są nieważne.","Existe agora um estado de guerra entre {0} e {1}. Todos os tratados de paz são nulos.","Existe un estado de guerra entre {0} y {1}. Todos los tratados de paz son nulos."
"Dipl.Neutral.Detail",23061993251872782,"Relations between {0} and {1} have settled at neutral.","Les relations entre {0} et {1} se sont stabilisées à un niveau neutre.","Die Beziehungen zwischen {0} und {1} haben sich auf einem neutralen Niveau eingependelt.","Le relazioni tra {0} e {1} si sono stabilizzate su un livello neutro.","Relacje między {0} i {1} ustabilizowały się na neutralnym poziomie.","As relações entre {0} e {1} se estabilizaram em um estado neutro.","Las relaciones entre {0} y {1} se han estabilizado en neutral."
"Dipl.Peace.Detail",23061993251872783,"A peace accord has been reached between {0} and {1}.","Un accord de paix a été conclu entre {0} et {1}.","Zwischen {0} und {1} wurde ein Friedensabkommen erzielt.","È stato raggiunto un accordo di pace tra {0} e {1}.","Osiągnięto porozumienie pokojowe pomiędzy {0} i {1}.","Um acordo de paz foi alcançado entre {0} e {1}.","Se ha alcanzado un acuerdo de paz entre {0} y {1}."
"Dipl.Allied.Detail",23061993251872784,"An alliance has been forged between {0} and {1}. Mutual defense is now active.","Une alliance a été forgée entre {0} et {1}. La défense mutuelle est désormais active.","Zwischen {0} und {1} wurde ein Bündnis geschlossen. Die gegenseitige Verteidigung ist nun aktiv.","È stata stretta un'alleanza tra {0} e {1}. La difesa reciproca è ora attiva.","{0} i {1} zawarły sojusz. Wzajemna obrona jest teraz aktywna.","Uma aliança foi forjada entre {0} e {1}. A defesa mútua está agora ativa.","Se ha forjado una alianza entre {0} y {1}. La defensa mutua está ahora activa."
"Resistance is Futile",23061993251872785,"Resistance is Futile","La résistance est futile.","Widerstand ist zwecklos","La resistenza è inutile","Opór jest daremny","Resistir é inútil.","La resistencia es inútil."
"Ships",23061993251872786,"{0} ships","{0} navires","{0} Schiffe","{0} navi","{0} statków","{0} navios","{0} barcos"
"Ribbon.Systems",23091831874461696,"Systems","Systemes","Systeme","Sistemi","Systemy","Sistemas","Sistemas"
"Ribbon.Fleets",23091831937376256,"Fleets","Fleets","Fleets","Fleets","Fleets","Fleets","Fleets"
"Ribbon.Diplomacy",23091831937376257,"Diplomacy","Diplomacy","Diplomacy","Diplomacy","Diplomacy","Diplomacy","Diplomacy"
"Ribbon.Intel",23091831937376258,"Intelligence","Intelligence","Intelligence","Intelligence","Intelligence","Intelligence","Intelligence"
"Ribbon.Report",23091831937376259,"Report","Report","Report","Report","Report","Report","Report"
"Ribbon.Encyclopedia",23091831937376260,"Encyclopedia","Encyclopedia","Encyclopedia","Encyclopedia","Encyclopedia","Encyclopedia","Encyclopedia"
"Ribbon.Home",23091831937376261,"Home","Home","Home","Home","Home","Home","Home"
