Key,Id,English(en),French(fr),German(de),Italian(it),Polish(pl),Portuguese (Brazil)(pt-BR),Spanish(es)
"Advanced",2041072932298753,"Advanced","Avancé","Fortschrittlich","Avanzato","Zaawansowany","Avançado","Avanzado"
"Supreme",2041072932298754,"Supreme","Suprême","Überlegen","Supremo","Najwyższy","Supremo","Supremo"
"Small",2041072932298755,"Small","Petit","Klein","Piccolo","Mały","Pequeno","Pequeño"
"Medium",2041072932298756,"Medium","Moyen","Mittel","Mezzo","Średni","Médio","Medio"
"Large",2041072932298757,"Large","Grand","Groß","Grande","Duży","Grande","Grande"
"Extreme",3466425766256640,"Extreme","Extrême","Sehr groß","Estremo","Skrajny","Extremo","Extremo"
"Canon",2041072932298759,"Canon","Canon","Canon","Canone","Kanon","Cânone","Canon"
"Random",2041072932298760,"Random","Aléatoire","Zufällig","Casuale","Losowy","Aleatório","Aleatorio"
"No Events",3501554970664960,"No Events","Aucun événement","Keine Ereignisse","Nessun evento","Brak wydarzeń","Nenhum evento","No hay eventos"
"Rare Events",3501555020996608,"Rare Events","Événements rares","Seltene Ereignisse","Eventi rari","Rzadkie wydarzenia","Eventos raros","Eventos raros"
"Some Events",3501555020996609,"Some Events","Quelques événements","Einige Ereignisse","Alcuni eventi","Niektóre wydarzenia","Alguns eventos","Algunos eventos"
"Ponderous",2041072932298758,"Ponderous","Lourd","Schwerfällig","Ponderoso","Ciężki","Ponderoso","Pesado"
"YourCiv.LocalPlayer.MainMenu",904229303623680,"You","Toi","Du","Voi","Ty","Você","Tú"
"No Destination",23061993197346816,"No Destination","No Destination","No Destination","No Destination","No Destination","No Destination","No Destination"
"Stardate",23061993251872768,"Stardate","Stardate","Stardate","Stardate","Stardate","Stardate","Stardate"
"Report.Combat",23061993251872769,"COMBAT","COMBAT","COMBAT","COMBAT","COMBAT","COMBAT","COMBAT"
"Report.Diplomacy",23061993251872770,"DIPL","DIPL","DIPL","DIPL","DIPL","DIPL","DIPL"
"Report.Intel",23061993251872771,"INTEL","INTEL","INTEL","INTEL","INTEL","INTEL","INTEL"
"Intel.TechTheft",23061993251872772,"Tech Theft","Tech Theft","Tech Theft","Tech Theft","Tech Theft","Tech Theft","Tech Theft"
"Intel.GatherIntel",23061993251872773,"Gather Intel","Gather Intel","Gather Intel","Gather Intel","Gather Intel","Gather Intel","Gather Intel"
"Intel.Sabotage",23061993251872774,"Sabotage","Sabotage","Sabotage","Sabotage","Sabotage","Sabotage","Sabotage"
"Intel.Disinformation",23061993251872775,"Disinformation","Disinformation","Disinformation","Disinformation","Disinformation","Disinformation","Disinformation"
"Dipl.War",23061993251872776,"War declared with {0}","War declared with {0}","War declared with {0}","War declared with {0}","War declared with {0}","War declared with {0}","War declared with {0}"
"Dipl.Neutral",23061993251872777,"Relations with {0}: neutral","Relations with {0}: neutral","Relations with {0}: neutral","Relations with {0}: neutral","Relations with {0}: neutral","Relations with {0}: neutral","Relations with {0}: neutral"
"Dipl.Peace",23061993251872778,"Peace accord with {0}","Peace accord with {0}","Peace accord with {0}","Peace accord with {0}","Peace accord with {0}","Peace accord with {0}","Peace accord with {0}"
"Dipl.Allied",23061993251872779,"Alliance forged with {0}","Alliance forged with {0}","Alliance forged with {0}","Alliance forged with {0}","Alliance forged with {0}","Alliance forged with {0}","Alliance forged with {0}"
"Dipl.Changed",23061993251872780,"Diplomacy changed with {0}","Diplomacy changed with {0}","Diplomacy changed with {0}","Diplomacy changed with {0}","Diplomacy changed with {0}","Diplomacy changed with {0}","Diplomacy changed with {0}"
"Dipl.War.Detail",23061993251872781,"A state of war now exists between {0} and {1}. All peace treaties are void.","A state of war now exists between {0} and {1}. All peace treaties are void.","A state of war now exists between {0} and {1}. All peace treaties are void.","A state of war now exists between {0} and {1}. All peace treaties are void.","A state of war now exists between {0} and {1}. All peace treaties are void.","A state of war now exists between {0} and {1}. All peace treaties are void.","A state of war now exists between {0} and {1}. All peace treaties are void."
"Dipl.Neutral.Detail",23061993251872782,"Relations between {0} and {1} have settled at neutral.","Relations between {0} and {1} have settled at neutral.","Relations between {0} and {1} have settled at neutral.","Relations between {0} and {1} have settled at neutral.","Relations between {0} and {1} have settled at neutral.","Relations between {0} and {1} have settled at neutral.","Relations between {0} and {1} have settled at neutral."
"Dipl.Peace.Detail",23061993251872783,"A peace accord has been reached between {0} and {1}.","A peace accord has been reached between {0} and {1}.","A peace accord has been reached between {0} and {1}.","A peace accord has been reached between {0} and {1}.","A peace accord has been reached between {0} and {1}.","A peace accord has been reached between {0} and {1}.","A peace accord has been reached between {0} and {1}."
"Dipl.Allied.Detail",23061993251872784,"An alliance has been forged between {0} and {1}. Mutual defense is now active.","An alliance has been forged between {0} and {1}. Mutual defense is now active.","An alliance has been forged between {0} and {1}. Mutual defense is now active.","An alliance has been forged between {0} and {1}. Mutual defense is now active.","An alliance has been forged between {0} and {1}. Mutual defense is now active.","An alliance has been forged between {0} and {1}. Mutual defense is now active.","An alliance has been forged between {0} and {1}. Mutual defense is now active."
"Resistance is Futile",23061993251872785,"Resistance is Futile","Resistance is Futile","Resistance is Futile","Resistance is Futile","Resistance is Futile","Resistance is Futile","Resistance is Futile"
"Ships",23061993251872786,"{0} ships","{0} ships","{0} ships","{0} ships","{0} ships","{0} ships","{0} ships"
